"1111A0 - Oilseed farming","Peanuts",109.0539451666587
"1111A0 - Oilseed farming","Soybeans",15796.33631456713
"1111A0 - Oilseed farming","Sunflowers",304.3388987884225
"1111B0 - Grain farming","barley",1538.3683269211376
"1111B0 - Grain farming","corn",130425.229899323
"1111B0 - Grain farming","hay",69836.002488319
"1111B0 - Grain farming","Millet",59.266527559758
"1111B0 - Grain farming","Oats",2071.6444196860716
"1111B0 - Grain farming","Rice",393.3418164348064
"1111B0 - Grain farming","rye",39.899044103735
"1111B0 - Grain farming","sorghum",10525.993988355789
"1111B0 - Grain farming","Wheat",8810.33106659455
"111200 - Vegetable and melon farming","beans",66.6560487905236
"111200 - Vegetable and melon farming","corn",1868.33909769782
"111200 - Vegetable and melon farming","potatoes",1557.3818721463465
"111200 - Vegetable and melon farming","veggies",2115.319742591247
"111335 - Tree nut farming","Tree Nuts",17.5503489141495
"1113A0 - Fruit farming","citrus fruit",923.0836782316501
"1113A0 - Fruit farming","non-citrus fruit",1010.958892593753
"111400 - Greenhouse, nursery, and floriculture production","mushrooms",26.8752579184514
"111920 - Cotton farming","cotton",2277.9
"111920 - Cotton farming","cottonseed",1891.181409007596
"1119A0 - Sugarcane and sugar beet farming","Sugar Beets",1766.704432803114
"1119A0 - Sugarcane and sugar beet farming","Sugar Cane",861.9662864792581
"112120 - Dairy cattle and milk production","Milk & Milk Products",4461.645585295373
"1121A0 - Cattle ranching and farming","beef",491.251022721586
"1121A0 - Cattle ranching and farming","byproducts of animal processing",22543.327891051522
"1121A0 - Cattle ranching and farming","cattle live",1033.1
"1121A0 - Cattle ranching and farming","Lamb and mutton meat",6.05589929030955
"1121A0 - Cattle ranching and farming","Pork",361.055067493805
"112300 - Poultry and egg production","chicken live",438.7
"112300 - Poultry and egg production","chicken meat",400.418412880817
"112300 - Poultry and egg production","Eggs",247.421702849327
"112300 - Poultry and egg production","Live turkeys",85.8
"112300 - Poultry and egg production","Turkey meat",102.944408421388
"112A00 - Animal production, except cattle and poultry and eggs","live pigs",154.2
"112A00 - Animal production, except cattle and poultry and eggs","Wool",49.4
"113A00 - Forest nurseries, forest products, and timber tracts","Other Industrial Roundwood",16490.91
"113A00 - Forest nurseries, forest products, and timber tracts","Rubber (crude natural)",86.23788
"114100 - Fishing","Fishery Products",1296.456207002007
"212100 - Coal mining","Coke",21643.612722000005
"212210 - Iron ore mining","Iron & Steel",15834.800000000007
"212230 - Copper, nickel, lead, and zinc mining","Copper",1079.900000000001
"212230 - Copper, nickel, lead, and zinc mining","Lead",426.5
"212230 - Copper, nickel, lead, and zinc mining","Nickel",21.689019895288002
"212230 - Copper, nickel, lead, and zinc mining","Zinc",1057.0
"2122A0 - Gold, silver, and other metal ore mining","Chromium",3.0
"2122A0 - Gold, silver, and other metal ore mining","Columbium",4.3
"2122A0 - Gold, silver, and other metal ore mining","Gold",0.129
"2122A0 - Gold, silver, and other metal ore mining","Manganese",430.0
"2122A0 - Gold, silver, and other metal ore mining","Molybdenum",22.200000000000003
"2122A0 - Gold, silver, and other metal ore mining","Rare earths",5.686999999999999
